,gameName,gameSize,COLDPOWER2021,CrocodileAgent2020,IS3,Mertacor2021,TUC_TAC,UTA_PTA2021,VidyutVanika
176,finals_2021_177,3,-786207.2733325438,,7658228.708048866,,-3253574.745648433,,
177,finals_2021_178,3,,-842456.1885395619,4745629.835981755,,-3369482.647977801,,
178,finals_2021_179,3,1145141.3326637556,2411881.4553935425,,,6848433.21621517,,
179,finals_2021_180,3,684551.4735913094,12653784.69703735,720435.6203118433,,,,
180,finals_2021_181,3,,,-111690.60130614214,389191.9149196434,1407756.3820648228,,
181,finals_2021_182,3,-5988.6914235705935,,,371105.9567978908,1984665.547988612,,
182,finals_2021_183,3,-277137.53584323655,,265740.006995291,7947976.055944284,,,
183,finals_2021_184,3,,93661.4940005023,,1019154.9123417434,1689862.1149597887,,
184,finals_2021_185,3,,1460787.4985143868,2556199.906569289,1596963.827896093,,,
185,finals_2021_186,3,321637.1560884292,1376868.716762143,,1853939.803724282,,,
186,finals_2021_187,3,,,15800.729225310932,,771590.8851872566,690060.1710470566,
187,finals_2021_188,3,306888.3012891297,,,,1793839.6043459182,387840.5875659245,
188,finals_2021_189,3,-252239.15263982967,,-76750.88613208596,,,3219199.2111832006,
189,finals_2021_190,3,,-592016.4285577657,,,967541.617875156,494365.9499651842,
190,finals_2021_191,3,,11743330.521716896,745562.8142643847,,,0.0,
191,finals_2021_192,3,1478454.495704403,11000990.6147474,,,,0.0,
192,finals_2021_193,3,,,,-1054066.206045105,-580081.1961887223,-1067414.4334180583,
193,finals_2021_194,3,,,-166392.32185830775,618592.33621358,,1055491.3932847425,
194,finals_2021_195,3,-319639.4838737045,,,-395431.5866365071,,0.0,
195,finals_2021_196,3,,853554.1681576889,,1628301.3567761583,,269497.18521627097,
196,finals_2021_197,3,,,-86398.19588882668,,2088316.4682646927,,2746818.815813074
197,finals_2021_198,3,91721.26158866206,,,,414888.3600398709,,1793972.89566713
198,finals_2021_199,3,466377.4077408387,,135701.80523898025,,,,11017596.472175166
199,finals_2021_200,3,,384327.8116062016,,,983196.9140471648,,327122.8641680916
200,finals_2021_201,3,,2370043.440210745,136923.81551885873,,,,10513652.274526885
201,finals_2021_202,3,988270.9682727824,-582310.7860969764,,,,,6818865.7750997525
202,finals_2021_203,3,,,,-16540893.336503904,-48192.09230552203,,1507499.326628277
203,finals_2021_204,3,,,-308140.8614407494,948331.0377490108,,,1983983.068752423
204,finals_2021_205,3,-2525444.950720664,,,-7549207.11783635,,,5713565.735428858
205,finals_2021_206,3,,628875.8581764557,,875372.8194091307,,,1281106.4466853486
206,finals_2021_207,3,,,,,1647239.6649833657,243974.04001208692,1347981.1484319614
207,finals_2021_208,3,,,34055.480982327426,,,0.0,18350601.32665514
208,finals_2021_209,3,-335005.4713332913,,,,,593688.9562914866,1513110.2989125447
209,finals_2021_210,3,,726538.4893040775,,,,1159137.8000223483,1553675.310904384
210,finals_2021_211,3,,,,510813.98001773504,,-1378925.2957781048,1184944.5980519983
211,finals_2021_212,3,1938858.5535872164,,219842.3083500175,,10486697.4546754,,
212,finals_2021_213,3,,7401383.096330513,-57493.3051131495,,11817128.49432007,,
213,finals_2021_214,3,1651851.0065779337,-519347.59231959225,,,8541769.024861017,,
214,finals_2021_215,3,3796149.496189564,11914807.722547265,506.9043174391636,,,,
215,finals_2021_216,3,,,1973655.7999617152,330057.1488303948,1245180.7971091124,,
216,finals_2021_217,3,-137169.38138977287,,,341186.53294200456,1167361.201409642,,
217,finals_2021_218,3,-325194.4196200407,,1819530.5865577604,397139.8817787088,,,
218,finals_2021_219,3,,104468.40637362072,,280802.94915153465,426241.46164536936,,
219,finals_2021_220,3,,979528.1466108656,1414475.976188814,2579868.3086623726,,,
220,finals_2021_221,3,-795247.6748813476,634655.4483453305,,2063138.8223146,,,
221,finals_2021_222,3,,,-115058.7761728423,,4558615.658090309,3617788.345708732,
222,finals_2021_223,3,115691.23020281918,,,,1552437.3665087558,586964.2923385486,
223,finals_2021_224,3,-77259.45110005212,,-45985.09914879982,,,2004237.3252138847,
224,finals_2021_225,3,,-527850.2015093031,,,-1797941.4262621964,0.0,
225,finals_2021_226,3,,19350273.647344977,1696839.7029743355,,,0.0,
226,finals_2021_227,3,145866.03905524532,1496616.182238167,,,,1644735.4894082434,
227,finals_2021_228,3,,,,1296719.6731378683,1594823.472447793,-820443.8372328304,
228,finals_2021_229,3,,,-156789.92302777478,1888409.866863533,,825287.8025211069,
229,finals_2021_230,3,-97876.63262229346,,,5164291.144567377,,0.0,
230,finals_2021_231,3,,445127.763816088,,-336391.9037960362,,549727.3209385708,
231,finals_2021_232,3,,,-697227.625993708,,-3910068.421610514,,1415924.2589689556
232,finals_2021_233,3,-141147.76101165958,,,,759776.0231727012,,-514459.6638948232
233,finals_2021_234,3,1536010.4940995674,,-101236.3357199948,,,,10664279.436533142
234,finals_2021_235,3,,208616.86568990155,,,1020166.2351754784,,39607.94982658461
235,finals_2021_236,3,,-1136267.9441205852,190409.64893774453,,,,13061701.3672772
236,finals_2021_237,3,1168546.5136165856,854354.7627679548,,,,,4028469.7343864
237,finals_2021_238,3,,,,0.0,4115398.904416704,,4630838.494549249
238,finals_2021_239,3,,,496399.9658588679,454131.6074869017,,,5445173.539901583
239,finals_2021_240,3,-166122.69943353743,,,265791.4639930111,,,713061.9510380937
240,finals_2021_241,3,,-729634.671723679,,-133344.4969859652,,,4316623.925665895
241,finals_2021_242,3,,,,,-3123074.6416392582,-6121143.654931727,270683.9114456428
242,finals_2021_243,3,,,-123030.95862711704,,,563810.707089772,8816652.412398279
243,finals_2021_244,3,-29751.463269288903,,,,,1022526.2051445622,2152984.0065808278
244,finals_2021_245,3,,-233557.0101669196,,,,161853.70958788856,1643679.4255806264
245,finals_2021_246,3,,,,-373679.4997970903,,878441.1232071964,2276796.188449216
246,finals_2021_247,3,3054359.424384049,,-3106.875222054932,,10458676.063919472,,
247,finals_2021_248,3,,5013787.9141728105,774061.9681441963,,9233040.677571569,,
248,finals_2021_249,3,867361.8250329219,1386443.4200683378,,,3753180.887661547,,
249,finals_2021_250,3,1852223.5298629524,7856131.174188609,1070915.5015337777,,,,
250,finals_2021_251,3,,,1854785.341449679,2150050.4067326225,1003669.8960991492,,
251,finals_2021_252,3,-32453.67025743901,,,443169.16770896415,1140672.4990516352,,
252,finals_2021_253,3,-871931.3053886116,,1399145.5052773948,2419285.060465275,,,
253,finals_2021_254,3,,-169739.3476865907,,-712837.0965097453,1609941.5834215546,,
254,finals_2021_255,3,,1226579.5147541268,76650.24159028573,4991795.131041731,,,
255,finals_2021_256,3,-28289.16762514612,441508.9701994092,,1955225.2325769449,,,
256,finals_2021_257,3,,,-104244.57120932652,,4430099.748141065,4372374.500944649,
257,finals_2021_258,3,318970.2611875608,,,,3155484.563297586,2286559.7512921225,
258,finals_2021_259,3,-413762.6786962739,,-171694.8529684347,,,1643401.872871952,
259,finals_2021_260,3,,2226122.1171049317,,,718061.5177535311,866555.4720513271,
260,finals_2021_261,3,,20296379.027871605,1612011.4157587895,,,0.0,
261,finals_2021_262,3,-449368.2557157311,1110706.964619989,,,,553739.6531553569,
262,finals_2021_263,3,,,,180779.41843926843,1168674.2829430655,-1080312.44570213,
263,finals_2021_264,3,,,497408.0248737211,16729929.586228818,,70104.50589861214,
264,finals_2021_265,3,-2144300.9446407123,,,-29893014.553783488,,0.0,
265,finals_2021_266,3,,696212.5608283291,,-258598.77727246567,,-25453.307900019918,
266,finals_2021_267,3,,,-140539.03177909224,,1338253.1871107365,,991123.587773178
267,finals_2021_268,3,195858.67921225756,,,,2235602.993239397,,2140942.063914218
268,finals_2021_269,3,-306501.4959548072,,-11946.29664269986,,,,13650105.979199568
269,finals_2021_270,3,,365313.5823669154,,,1464050.205391467,,1239227.171640351
270,finals_2021_271,3,,3361614.724000744,-78541.56499387082,,,,9443041.344802916
271,finals_2021_272,3,251622.4866091137,2542566.288760681,,,,,6849155.372948431
272,finals_2021_273,3,,,,825077.9895416405,1583787.0619964502,,878407.1381195522
273,finals_2021_274,3,,,350516.15052432026,684877.5354249233,,,2565273.638345462
274,finals_2021_275,3,-463255.0409830888,,,1022184.5010847844,,,2068465.9200591235
275,finals_2021_276,3,,-645512.72609218,,836059.6201057053,,,1304411.262727153
276,finals_2021_277,3,,,,,-191343.62099133476,-2455747.91539442,-443581.1307877006
277,finals_2021_278,3,,,-673273.0510308474,,,-13646103.247072726,-140264.2936492432
278,finals_2021_279,3,-273099.9625422325,,,,,930465.1246496964,732147.2238121096
279,finals_2021_280,3,,-379485.7108512599,,,,97382.3870281686,1674408.9753108886
280,finals_2021_281,3,,,,-2019.4810786959767,,103506.39425959406,998023.7614911576
281,finals_2021_282,3,1901799.004364619,,-110351.4853678516,,11207683.26968727,,
282,finals_2021_283,3,,6472594.115607909,-109486.97424398,,8021801.899732002,,
283,finals_2021_284,3,1406037.0212052008,2168561.680110988,,,6479716.985309598,,
284,finals_2021_285,3,830227.331870618,7808707.249898213,1159921.8799278175,,,,
285,finals_2021_286,3,,,674063.700906676,-418556.97865312354,-80699.27242058309,,
286,finals_2021_287,3,-202433.53674473727,,,-1174546.0304866445,240699.79318860304,,
287,finals_2021_288,3,-10862286.831757007,,8662063.403437652,-14515079.643052418,,,
288,finals_2021_289,3,,130660.07149750498,,917190.7446930984,1259074.7431366895,,
289,finals_2021_290,3,,-648826.9176382815,7733476.003801697,-29660159.493978664,,,
290,finals_2021_291,3,-429504.03990730026,1293416.629130416,,1569496.8273335523,,,
291,finals_2021_292,3,,,60189.75073166854,,15118231.507107928,0.0,
292,finals_2021_293,3,355027.7369837605,,,,2758131.880245887,722933.652445396,
293,finals_2021_294,3,1309417.3137431324,,277775.5881032996,,,-1132607.9464002848,
294,finals_2021_295,3,,2988159.370615433,,,4951036.3724723,1157323.2387379028,
295,finals_2021_296,3,,9473958.072269712,259629.04754280092,,,-821265.2995573982,
296,finals_2021_297,3,-789257.4648515807,1153401.9248400384,,,,83385.4779155375,
297,finals_2021_298,3,,,,1287343.1859699436,2267265.9508320265,-491733.0212967043,
298,finals_2021_299,3,,,42525.17181151626,-985650.0940142716,,-12481.707350613016,
299,finals_2021_300,3,-424504.09211386926,,,-3365875.743416137,,0.0,
300,finals_2021_301,3,,644935.034072635,,-597322.5364286648,,219377.4391790867,
301,finals_2021_302,3,,,-73316.58204359062,,1854340.5312468156,,2244162.1361081926
302,finals_2021_303,3,-82006.67909857191,,,,1317245.9600013248,,847045.7706735077
303,finals_2021_304,3,1672430.6625684688,,453848.462360754,,,,14812021.6688125
304,finals_2021_305,3,,-815265.8418604481,,,-3522306.494533948,,8352901.888968465
305,finals_2021_306,3,,4914866.1059504645,-168224.71974728245,,,,10552759.743055085
306,finals_2021_307,3,593598.8925909898,45790.1217258072,,,,,3611551.4831210487
307,finals_2021_308,3,,,,739263.6854095781,1147226.8580009008,,-403073.8958919355
308,finals_2021_309,3,,,-35698.307827910576,1391320.8742198208,,,1136652.5813434203
309,finals_2021_310,3,-1817140.265805667,,,-4039993.478973151,,,-8566.144752122296
310,finals_2021_311,3,,966192.568665882,,-369012.0057475875,,,5874639.93959644
311,finals_2021_312,3,,,,,171812.64708820664,347083.529428016,1250420.5058806753
312,finals_2021_313,3,,,-102386.02963102084,,,-81057.60761064169,3493183.35430742
313,finals_2021_314,3,-69895.47891468291,,,,,-169135.1169952528,1568099.396902898
314,finals_2021_315,3,,451841.990945868,,,,378164.01907293394,2815966.1660949257
315,finals_2021_316,3,,,,363447.0275119699,,41137.09842777095,1311519.191808548
316,finals_2021_317,3,2374748.3580335267,,217213.5931786669,,9266643.498362605,,
317,finals_2021_318,3,,-580884.4325061581,1399962.5557794664,,-3500366.4243759504,,
318,finals_2021_319,3,95836.42345760796,552116.29607891,,,1995025.3078202507,,
319,finals_2021_320,3,766257.9824132443,7242265.72959558,953705.948093905,,,,
320,finals_2021_321,3,,,68507.95840161027,811919.3135532772,1096903.0736985367,,
321,finals_2021_322,3,149429.20407915494,,,920539.7042446294,1090826.005223684,,
322,finals_2021_323,3,-192603.06702229285,,793647.0859178827,5962030.553792141,,,
323,finals_2021_324,3,,381081.62465035135,,1150132.5880554316,1560694.7957319068,,
324,finals_2021_325,3,,-895246.6878257674,991063.9163132902,0.0,,,
325,finals_2021_326,3,-1415988.2453674946,769669.3225265142,,2306516.970959828,,,
326,finals_2021_327,3,,,-95555.43467531826,,69599.07518121059,-6555086.557800248,
327,finals_2021_328,3,631798.9983563258,,,,3009933.14886539,561535.1436310408,
328,finals_2021_329,3,391364.3814384592,,919551.6514823188,,,0.0,
329,finals_2021_330,3,,1129286.1362286704,,,1652121.9065236333,765996.9396261957,
330,finals_2021_331,3,,19654574.8052707,2037519.8736025868,,,-32582.413528907786,
331,finals_2021_332,3,-216339.2475283438,1318666.2316406737,,,,1232731.2367739177,
332,finals_2021_333,3,,,,1813904.557901862,-3369161.73404894,-4911185.861689058,
333,finals_2021_334,3,,,2293233.8689932744,23677998.53360728,,0.0,
334,finals_2021_335,3,-452805.5020615427,,,5519678.023544254,,0.0,
335,finals_2021_336,3,,-120089.12235241033,,-19390.10467296969,,0.0,
336,finals_2021_337,3,,,-2085.1926586903,,2127422.836574624,,3834996.19043788
337,finals_2021_338,3,-238943.4863265601,,,,681595.4347713824,,2099183.5007072417
338,finals_2021_339,3,711265.8103340698,,-22433.69627990941,,,,10391449.99623553
339,finals_2021_340,3,,-316272.4644554207,,,-579307.3992969095,,1424308.351076212
340,finals_2021_341,3,,3525394.728590235,-173476.16118238415,,,,10775919.46181424
341,finals_2021_342,3,1149468.467822458,1434922.0181071009,,,,,5598640.064408497
342,finals_2021_343,3,,,,-699318.6582464799,-306784.53800548665,,-24105.87422876925
343,finals_2021_344,3,,,2265444.0894922107,-7749003.109554215,,,-411927.8622103553
344,finals_2021_345,3,-121833.87768403688,,,-1407319.4083377318,,,2315099.18718679
345,finals_2021_346,3,,-254530.71625123132,,1029445.416271452,,,1291293.548481724
346,finals_2021_347,3,,,,,2582263.599073641,-409947.6102968365,2989640.553904271
347,finals_2021_348,3,,,-76993.03950992659,,,0.0,15083432.367589442
348,finals_2021_349,3,-414723.1248325643,,,,,-68004.45663751487,3199724.241303194
349,finals_2021_350,3,,-767738.5720236907,,,,0.0,11972297.85024622
350,finals_2021_351,3,,,,-186215.6859998434,,258676.0503288834,2372260.236320416
351,finals_2021_352,3,2575110.312409546,,-1315.7887812890287,,6810068.27855587,,
352,finals_2021_353,3,,8337642.643848662,107360.72622600122,,8351225.331183322,,
353,finals_2021_354,3,672861.7126443896,603969.0003350816,,,3332976.0985376188,,
354,finals_2021_355,3,1770350.3765565795,14646841.039806137,2507960.072282424,,,,
355,finals_2021_356,3,,,-78947.91434978489,1161257.4243963703,1765716.3460123283,,
356,finals_2021_357,3,25575.70264652281,,,1441864.483197778,1969854.4523690764,,
357,finals_2021_358,3,184911.49451798163,,653567.5010886509,4796039.81802466,,,
358,finals_2021_359,3,,580720.8523826312,,129313.75667676736,1375686.437997813,,
359,finals_2021_360,3,,926539.4282712948,300420.9238440018,3304912.479993119,,,
360,finals_2021_361,3,-1369.5819720044194,847924.9063421407,,1003514.9399312956,,,
361,finals_2021_362,3,,,-92571.7147136606,,2352187.9335824875,3363109.775404478,
362,finals_2021_363,3,-88447.25708859993,,,,2917822.659505961,854181.251452584,
363,finals_2021_364,3,-347315.3610964141,,-45503.67339103206,,,2199076.886499868,
364,finals_2021_365,3,,6265873.347917826,,,8789394.775563937,0.0,
365,finals_2021_366,3,,22704304.91134026,2141791.836256828,,,0.0,
366,finals_2021_367,3,-63806.84402429612,1412256.9553235054,,,,2479839.6511791083,
367,finals_2021_368,3,,,,1002809.4376710992,1465172.0014016377,-1125154.351700483,
368,finals_2021_369,3,,,-148730.9349288839,2269859.898723724,,871544.1246665865,
369,finals_2021_370,3,138831.23495812775,,,282765.1279822299,,-218679.6928457894,
370,finals_2021_371,3,,563918.7081289138,,1829147.5689670765,,0.0,
371,finals_2021_372,3,,,63631.753806355126,,2788549.0256542866,,5416292.714652246
372,finals_2021_373,3,199701.45960031523,,,,933608.961935487,,897957.4643166492
373,finals_2021_374,3,1194654.3857397784,,120476.3048132852,,,,10701375.86295215
374,finals_2021_375,3,,-606185.3728269882,,,-2383850.985583026,,889167.7867927888
375,finals_2021_376,3,,3339755.63451899,-16962.28530459128,,,,8922062.674946059
376,finals_2021_377,3,478497.91463281,493597.345013334,,,,,5152600.513726704
377,finals_2021_378,3,,,,352154.34468303225,514669.70677820966,,677609.0534699473
378,finals_2021_379,3,,,603540.4176479058,706991.136070332,,,6609207.328178827
379,finals_2021_380,3,32513.951674111835,,,1538094.418218069,,,2113404.975724041
380,finals_2021_381,3,,-640429.5993546661,,-4027035.636915583,,,1099378.364965069
381,finals_2021_382,3,,,,,1082759.7123244945,-440298.85917908896,349788.2660674124
382,finals_2021_383,3,,,-164209.7779014212,,,0.0,16247441.859812744
383,finals_2021_384,3,1845954.89781915,,,,,0.0,12396662.167090002
384,finals_2021_385,3,,-591527.9381787952,,,,1231874.9222370577,1782020.1335492907
385,finals_2021_386,3,,,,342545.9796358222,,-142370.95712361202,873947.9017039512
